Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd,JointPos
0,6_obj1_f07,11,7,0.7,0.819803774356842,0.5303256995829833,4.190114670975525,[0.46192133 0.10560324 0.2301769 ],[ 0.46187207 -0.24981874  0.21613459],[ 0.0017268  -0.00794365 -0.70956975  0.70458829],[0.70082134 0.00427106 0.01169387 0.71322823],[0.49112612 0.20779344 0.29170513],[0.50497699 0.73791003 0.28623664],"[ 0.09801969  0.9135882  -0.14492002 -1.87349568  1.5911743  -1.47586994
  1.22130463]"
1,6_obj1_f07,3,7,0.7,0.8191154599189758,0.5485866882375899,4.181250918616626,[0.47658846 0.08262975 0.23053271],[ 0.49834415 -0.26985604  0.21244855],[-1.11428737e-04 -7.36874202e-03 -7.02931881e-01  7.11218953e-01],[0.69976729 0.00351616 0.00519951 0.71434331],[0.50585091 0.18419325 0.2919901 ],[0.47370714 0.73180515 0.28604469],"[ 0.04574469  0.96411693 -0.14614055 -1.7468679   1.566201   -1.45962275
  1.14163195]"
2,6_obj1_f07,6,7,0.7,0.7787492275238037,0.4990886319909275,4.208424315685202,[0.40303665 0.12054331 0.23009145],[ 0.4308199  -0.23051926  0.21122651],[ 0.00082291 -0.00795743 -0.70565379  0.70851165],[ 0.69901347  0.00117253 -0.01764357  0.71488982],[0.43249294 0.22218424 0.29130611],[0.43839675 0.72121215 0.28623119],"[ 0.13412067  0.91178626 -0.13428893 -1.92193579  1.67130582 -1.51576123
  1.22007469]"
4,6_obj1_f07,5,7,0.7,0.8205946683883667,0.5768473692568139,4.183293571320285,[0.45077538 0.09681865 0.23027346],[ 0.47540697 -0.25501662  0.21561505],[ 0.00094205 -0.00852559 -0.68923777  0.72448444],[0.69953668 0.00986467 0.00467104 0.7145133 ],[0.47996354 0.19888164 0.29169735],[0.43887562 0.77423102 0.28555197],"[ 0.08438566  0.92883939 -0.14354872 -1.83133296  1.58378588 -1.47549142
  1.17847187]"
6,6_obj1_f07,2,7,0.7,0.8245152235031128,0.5451046429545738,4.182476479326026,[0.48982093 0.07231987 0.23068199],[ 0.51361644 -0.27428815  0.21933825],[ 6.33477001e-04 -8.98940302e-03 -7.16150045e-01  6.97888196e-01],[0.70003265 0.00308045 0.00245666 0.71409994],[0.51916111 0.17497969 0.29212415],[0.48681211 0.7190932  0.28637129],"[ 0.03945944  0.96720467 -0.15010583 -1.69927615  1.56994698 -1.45401868
  1.09383664]"
7,6_obj1_f07,12,7,0.7,0.8228774666786194,0.5444744998158577,4.17663032772882,[0.50789416 0.08392949 0.23052901],[ 0.53739434 -0.26723534  0.22593479],[-3.17090511e-04 -7.88245164e-03 -7.04670846e-01  7.09490478e-01],[ 7.01712370e-01  3.25379591e-03 -1.32835456e-04  7.12452888e-01],[0.53718841 0.18578064 0.29201767],[0.51095819 0.72958338 0.28545728],"[ 0.04286793  0.97882451 -0.13810831 -1.62615074  1.58771987 -1.4655807
  1.02658974]"
8,6_obj1_f07,8,7,0.7,0.5565628409385681,7.131753035353913e-05,4.465642880798987,[0.50125206 0.09970266 0.23029166],[ 0.5052976  -0.4382166   0.25040081],[-0.00076988 -0.00596912 -0.6952675   0.71872586],[0.70119339 0.01298618 0.02482545 0.7124204 ],[0.53109616 0.20021492 0.29069781],[0.53103781 0.2002055  0.29065791],"[-0.16995141  0.94445795 -0.2936844  -1.65543917  1.33177643 -1.18664937
  1.1219025 ]"

11,6_obj1_f07,10,7,0.7,0.8210441470146179,0.5253533947430661,4.176397694883188,[0.49538842 0.08520018 0.23052293],[ 0.53403592 -0.26407006  0.22809997],[-0.00178485 -0.00919535 -0.69603002  0.7179516 ],[ 0.70047599  0.00196594 -0.00289141  0.71366739],[0.52453214 0.18807648 0.29211268],[0.48773021 0.71210819 0.28640565],"[ 0.05052411  0.973148   -0.14039543 -1.63505868  1.5957727  -1.47318146
  1.02744673]"
12,6_obj1_f09,11,7,0.9,0.9272521138191223,0.6986180215553919,4.178814700959058,[0.46084455 0.14873058 0.22951114],[ 0.46880978 -0.20387302  0.20731939],[-0.00129192 -0.00873168 -0.70612758  0.70802957],[0.70983559 0.00420228 0.00773271 0.70431244],[0.48980725 0.25130337 0.29163027],[0.47686839 0.94975531 0.28359169],"[ 0.1074076   0.92098433 -0.03462692 -1.84439654  1.64713258 -1.56176202
  1.19931472]"
13,6_obj1_f09,3,7,0.9,0.9309183955192566,0.6873688779844616,4.166619935493597,[0.500054   0.13665482 0.22992662],[ 0.51094365 -0.21327937  0.21820563],[ 0.00235675 -0.00782092 -0.69719648  0.71683353],[0.71326536 0.00576607 0.00211438 0.70086718],[0.5293076  0.23835413 0.29134595],[0.50681221 0.92531997 0.2844272 ],"[ 0.08271218  0.93835325 -0.04973501 -1.72000832  1.63444924 -1.53913263
  1.08083148]"
14,6_obj1_f09,6,7,0.9,0.9248293042182922,0.651702059873597,4.17050812327562,[0.49204662 0.1024274  0.23038656],[ 0.52515548 -0.24973108  0.22621933],[-0.00198225 -0.00944925 -0.69950134  0.71456605],[ 0.70940107  0.00287772 -0.00892011  0.70474267],[0.52117294 0.20470349 0.29183424],[0.47896922 0.85499996 0.28483933],"[ 0.05052711  0.95019048 -0.09011646 -1.66613899  1.61382717 -1.50351617
  1.0264826 ]"
15,6_obj1_f09,1,7,0.9,0.9316117763519287,0.5290525327965722,4.168510300388769,[0.53586459 0.15338907 0.2300207 ],[ 0.52588427 -0.20060466  0.23581454],[-7.13178306e-04 -5.14505617e-03 -6.99042976e-01  7.15060830e-01],[0.71435183 0.00307417 0.00415734 0.69976759],[0.56580549 0.25362006 0.29028514],[0.53388405 0.7816841  0.28518897],"[ 0.10293994  0.918105   -0.04753105 -1.68034467  1.65539144 -1.55383038
  1.02803647]"
17,6_obj1_f09,13,7,0.9,0.9265809059143066,0.6898854778830913,4.166570266662528,[0.48561904 0.12385864 0.23001406],[ 0.49993825 -0.22888403  0.21108438],[-0.00165728 -0.00872875 -0.70451522  0.70963323],[0.71061653 0.00292878 0.00346292 0.70356488],[0.51550889 0.22503649 0.29116884],[0.49118441 0.91446203 0.28463331],"[ 0.07043297  0.94522596 -0.05949293 -1.74911452  1.61895412 -1.52876034
  1.12256343]"
18,6_obj1_f09,7,7,0.9,0.9337918758392334,0.6874550793708646,4.1729992738323585,[0.47468767 0.13223231 0.22973284],[ 0.47857955 -0.22120717  0.20947292],[ 0.00101048 -0.00836346 -0.6974557   0.71657836],[0.71142197 0.00405681 0.00610385 0.7027269 ],[0.50380975 0.23451756 0.29147106],[0.5105114  0.92190659 0.28469655],"[ 0.08574851  0.92399063 -0.05515859 -1.81740998  1.62718728 -1.53308605
  1.17235824]"
19,6_obj1_f09,2,7,0.9,0.9309643507003784,0.7010285760605217,4.167402634605627,[0.4824585  0.11484125 0.22997701],[ 0.49807796 -0.23877133  0.21411063],[ 0.00075624 -0.00833259 -0.69215673  0.72169876],[7.10249305e-01 5.06957644e-04 7.45581789e-03 7.03910589e-01],[0.51150054 0.21702275 0.29159355],[0.47580126 0.91710407 0.28432903],"[ 0.06310306  0.93728461 -0.07491087 -1.7594475   1.60559046 -1.51070173
  1.13307365]"
20,6_obj1_f09,12,7,0.9,0.9314375519752502,0.7205350267428265,4.167774810898999,[0.48528519 0.14477083 0.22975317],[ 0.51148117 -0.21069826  0.21841718],[ 0.00134295 -0.00633998 -0.69980174  0.71430767],[ 0.71043253  0.00352428 -0.00158132  0.70375472],[0.51479524 0.24574253 0.29034004],[0.46051174 0.96420026 0.28381941],"[ 0.09406682  0.94368305 -0.04603902 -1.71240391  1.64688024 -1.55824639
  1.07577527]"
23,6_obj1_f09,4,7,0.9,0.9240276217460632,0.6907368012105987,4.169125090158623,[0.48090759 0.10949255 0.2300798 ],[ 0.49611589 -0.24864639  0.21412949],[ 0.0011004  -0.01000282 -0.69791311  0.71611172],[0.70833158 0.0056997  0.00326755 0.70584923],[0.51003671 0.21175495 0.29148012],[0.48322162 0.90193743 0.28466633],"[ 0.05947663  0.93720875 -0.0834914  -1.7667281   1.59754828 -1.50242626
  1.12809265]"
24,6_obj1_f09,10,7,0.9,0.9328338503837585,0.7054434677551652,4.18405828726905,[0.4663654  0.16690874 0.22942629],[ 0.47323146 -0.18811837  0.20877048],[ 0.00083289 -0.00695902 -0.70508426  0.70908886],[0.71124476 0.00351047 0.00653972 0.70290524],[0.49600297 0.26782814 0.28995052],[0.48753673 0.97318804 0.28315258],"[ 0.12366462  0.92103544 -0.01512211 -1.82652896  1.67108751 -1.58527764
  1.18314416]"
